date,study_day,time_period,time_window,887 Free Feed Control,883 Free Feed Control,884 Free Feed low,892 Free Feed Low,864 Free Feed Med,889 Free Feed Med,869 Free Feed high,894 Free Feed High,886 Free Feed High,893 IP Control,865 IP High,872 IP High
26-Jul,5,Dose 3,Post Dose 1,356.0428571,582.5428571,471.7857143,388.6428571,423.0285714,371.1,390.9142857,368.8857143,428.7,345.8571429,398.6285714,410.1857143
26-Jul,5,Dose 3,Post Dose 2,334.6714286,584.3,417.3142857,375.4142857,375.6857143,451.1,346.4428571,321.1142857,382.4,408.4428571,400.7857143,374.8571429
26-Jul,5,Dose 3,Post Dose 3,350.8571429,503.0142857,440.8857143,394.8571429,416.2142857,486.9,356.2285714,390.3571429,444.5714286,449.0714286,460.2714286,335.5857143
26-Jul,5,Dose 3,Post Dose 4,368.1,523.1428571,432.9,335.8571429,430.1857143,542.3428571,283.0714286,401.1,431.8285714,418.0142857,456.2,345.0571429
26-Jul,5,Dose 3,Post Dose 5,344.3142857,566.0142857,436.3857143,376.9857143,398.5,388.0571429,346.0428571,358.2714286,472.8285714,290.1714286,437.6428571,322.4
26-Jul,5,Dose 3,Post Dose 6,338.1,526.8142857,488.3285714,350.8714286,379.3714286,409.9571429,412.8,392.4285714,402.5285714,374.3428571,411.2428571,344.3142857
27-Jul,6,Non Dose 3,PreDose,345.9714286,536.9285714,439.2285714,356.9142857,385.1714286,537.3571429,422.2142857,397.4571429,425.3285714,334.5142857,457.6571429,361.1857143
27-Jul,6,Non Dose 3,Dose,390.3571429,485.9857143,442.5142857,341.9857143,392.7428571,533.5857143,405.5285714,374.7,430.4142857,417.0714286,446.8714286,407.1285714
27-Jul,6,Non Dose 3,Post Dose 1,430.4,506.9142857,423.7428571,353.7857143,362.2285714,548.7857143,397.2,368.6714286,426.4,416.3285714,401.3571429,369.1
27-Jul,6,Non Dose 3,Post Dose 2,410.5428571,483.3142857,458.8142857,321.6,380.5428571,520.2857143,432.8285714,389.9571429,434.5714286,395.4571429,421.9857143,374.4142857
27-Jul,6,Non Dose 3,Post Dose 3,397.8142857,489.2142857,411.4428571,338.7285714,370.8428571,584.6714286,354.5285714,431.3,426.3,329.2428571,479.7,341.9142857
27-Jul,6,Non Dose 3,Post Dose 4,339.6428571,497.8428571,433.9714286,284.4857143,358.4,529.1142857,343.4428571,412.2,408.0142857,336.5714286,453.6142857,412.4142857
27-Jul,6,Non Dose 3,Post Dose 5,357.8285714,505.8714286,414.0714286,322.9285714,329.6714286,571.1428571,332.4,415.3714286,383.9285714,439.1,402.6,382.0428571
27-Jul,6,Non Dose 3,Post Dose 6,296.2571429,526.8714286,488.7857143,378.6285714,398.7714286,574.2285714,390.1285714,384.0428571,413.0142857,449.3571429,455.0571429,379.2428571
28-Jul,7,Dose 4,PreDose,302.1571429,544.3428571,462.0714286,346.6571429,442.3428571,554.0142857,369.4714286,339.6428571,433.8285714,382.9714286,453.9,402.9857143
28-Jul,7,Dose 4,Dose,310.0285714,522.7285714,441.9428571,323.9714286,433.4571429,504.7,373.3571429,369.9428571,395.9571429,380.1285714,482.0142857,323.4571429
28-Jul,7,Dose 4,Post Dose 1,300.5857143,466.9571429,499.6714286,337.2142857,369.7142857,508.4571429,335.1571429,400.8,435.9714286,503.3571429,464.9285714,402.2
28-Jul,7,Dose 4,Post Dose 2,320.3142857,534.0714286,460.7285714,362.4285714,442.1571429,551.1857143,320.4285714,379.1285714,423.6714286,436.0571429,513.2571429,458.9714286
28-Jul,7,Dose 4,Post Dose 3,279.5857143,526.0571429,385.0142857,395.6428571,423.4,546.3285714,360.1714286,469.7428571,375.3714286,355.8285714,470.8142857,403.5142857
28-Jul,7,Dose 4,Post Dose 4,272.9571429,473.2,486.6142857,368.2,387.8714286,473.2142857,351.5571429,414.0142857,433.3428571,380.2714286,435.4857143,415.4428571
